IndexSymbol,TradingDate,Ret
000300,2016-01-04,-0.07020369874028409
000300,2016-01-05,0.0027990210632820034
000300,2016-01-06,0.017543506631635175
000300,2016-01-07,-0.06933422980329451
000300,2016-01-08,0.020392304470036704
000300,2016-01-11,-0.05030700032127944
000300,2016-01-12,0.007285940265313595
000300,2016-01-13,-0.018605533459173818
000300,2016-01-14,0.020815113375667105
000300,2016-01-15,-0.031922323587567636
000300,2016-01-18,0.0038477200655395727
000300,2016-01-19,0.029513883343501357
000300,2016-01-20,-0.015125049253365552
000300,2016-01-21,-0.029306510247670503
000300,2016-01-22,0.010420757135671144
000300,2016-01-25,0.004955901151773245
000300,2016-01-26,-0.06020665475615938
000300,2016-01-27,-0.0034551829444553483
000300,2016-01-28,-0.02613680959612319
000300,2016-01-29,0.032353806907378324
000300,2016-02-01,-0.015288059767352702
000300,2016-02-02,0.020778683580082946
000300,2016-02-03,-0.004285236701076944
000300,2016-02-04,0.012249715122904181
000300,2016-02-05,-0.0070256905077795695
000300,2016-02-15,-0.005762891432928741
000300,2016-02-16,0.030654526573704155
000300,2016-02-17,0.008653162289597782
000300,2016-02-18,-0.0031403836360550663
000300,2016-02-19,-0.0006909650587810789
000300,2016-02-22,0.02204752276681976
000300,2016-02-23,-0.009461760188786195
000300,2016-02-24,0.006535334179247565
000300,2016-02-25,-0.061359360679198005
000300,2016-02-26,0.010031691648822338
000300,2016-02-29,-0.023934627530927566
000300,2016-03-01,0.01849541437443314
000300,2016-03-02,0.04116436743565499
000300,2016-03-03,0.00232357693202645
000300,2016-03-04,0.011597491515226821
000300,2016-03-07,0.0035392337801281037
000300,2016-03-08,0.0009114801406835404
000300,2016-03-09,-0.011507013292917256
000300,2016-03-10,-0.01912816456211275
000300,2016-03-11,0.0017025372118879556
000300,2016-03-14,0.015707621559298612
000300,2016-03-15,0.0029650747466312133
000300,2016-03-16,0.00495970443413829
000300,2016-03-17,0.01105814506655256
000300,2016-03-18,0.015287113501056382
000300,2016-03-21,0.024426537535151782
000300,2016-03-22,-0.007278177162834187
000300,2016-03-23,0.0031930162843831766
000300,2016-03-24,-0.01676096771103408
000300,2016-03-25,0.005019092666216363
000300,2016-03-28,-0.00878410917437511
000300,2016-03-29,-0.01082742063204123
000300,2016-03-30,0.02579248009032331
000300,2016-03-31,0.0005627619485866209
000300,2016-04-01,0.001180824650646617
000300,2016-04-05,0.013222052894419134
000300,2016-04-06,-0.0021320328749665496
000300,2016-04-07,-0.014808766151040875
000300,2016-04-08,-0.007341187614706035
000300,2016-04-11,0.01392773398875602
000300,2016-04-12,-0.003606699482988196
000300,2016-04-13,0.013338718948562311
000300,2016-04-14,0.004430639790518054
000300,2016-04-15,-0.0011050634495685108
000300,2016-04-18,-0.013373224823590268
000300,2016-04-19,0.0030509997057412974
000300,2016-04-20,-0.017685205200259402
000300,2016-04-21,-0.006422448074994702
000300,2016-04-22,0.004524457381509972
000300,2016-04-25,-0.0040536709817631245
000300,2016-04-26,0.005417405906964712
000300,2016-04-27,-0.004164622101435533
000300,2016-04-28,-0.001686713498761816
000300,2016-04-29,-0.0012118028969365646
000300,2016-05-03,0.017990021382751298
000300,2016-05-04,-0.001269627887003133
000300,2016-05-05,0.0013896418712182612
000300,2016-05-06,-0.02600251406382237
000300,2016-05-09,-0.020678198923443025
000300,2016-05-10,0.001138432030062475
000300,2016-05-11,0.00446383479249679
000300,2016-05-12,0.002377700863822163
000300,2016-05-13,-0.004918870989663815
000300,2016-05-16,0.006624519502819615
000300,2016-05-17,-0.0030013148925309707
000300,2016-05-18,-0.005826274619088689
000300,2016-05-19,-0.0018057130937014776
000300,2016-05-20,0.0051330612244897544
000300,2016-05-23,0.0029237676319431305
000300,2016-05-24,-0.007663852916215852
000300,2016-05-25,-0.0014133883455847984
000300,2016-05-26,0.0016278606054465072
000300,2016-05-27,-0.0005580557468319869
000300,2016-05-30,0.0013746938775509587
000300,2016-05-31,0.03353756957782106
000300,2016-06-01,-0.0028426658589835174
000300,2016-06-02,0.002072424103399584
000300,2016-06-03,0.0070190394998579375
000300,2016-06-06,-0.0033047693402689093
000300,2016-06-07,-0.0005473780904053926
000300,2016-06-08,-0.004110731653578115
000300,2016-06-13,-0.030862929402431627
000300,2016-06-14,0.0031438131453132012
000300,2016-06-15,0.01313077458240941
000300,2016-06-16,-0.0069632296550152795
000300,2016-06-17,0.005070007464446968
000300,2016-06-20,0.0007426793040032909
000300,2016-06-21,-0.002040049218195228
000300,2016-06-22,0.008897988616755503
000300,2016-06-23,-0.005309576382595771
000300,2016-06-24,-0.012882860918994599
000300,2016-06-27,0.014097414499083527
000300,2016-06-28,0.005082453677889065
000300,2016-06-29,0.004779364876928982
000300,2016-06-30,0.0008028203427694613
000300,2016-07-01,8.877840909082835e-05
000300,2016-07-04,0.016010398833301576
000300,2016-07-05,0.0008362717259027264
000300,2016-07-06,0.00293697659772163
000300,2016-07-07,-0.0021294454115892147
000300,2016-07-08,-0.005504758641100227
000300,2016-07-11,0.003461475810392578
000300,2016-07-12,0.02180543372053445
000300,2016-07-13,0.002960423808039847
000300,2016-07-14,-0.0018611763487434985
000300,2016-07-15,-0.00014648616316115248
000300,2016-07-18,-0.004352497344549344
000300,2016-07-19,-0.004227441891833883
000300,2016-07-20,-0.003269472912940219
000300,2016-07-21,0.004605248933627015
000300,2016-07-22,-0.008411939050336437
000300,2016-07-25,0.0017766560418708277
000300,2016-07-26,0.011978123674900809
000300,2016-07-27,-0.015705333084576445
000300,2016-07-28,0.0009011136521825946
